id,review,sentiScore_pos,sentiScore_neg,rating,past,sentiScore,title,dataSource,length_words,stopwords_removal,stemmed
227,I love Dropbox on my Mac and I use it all the time to share files with my photography clients However I find it very annoying I cannot email the link to my clients in the iPhone app! Makes it hard for on-the-go sharing! What's the point of the app if I cannot share my folders?!,3,-4,4,0,-4,Annoyed,RE2014_app_and_play_store_apps,68,love dropbox mac use all time to share files with photography clients however find very annoying cannot email link to clients iphone app! makes hard for on-the-go sharing! what's point of app if cannot share folders?! please change!,i lov dropbox on my mac and i us it al the tim to shar fil with my photograph cli howev i find it very annoy i cannot email the link to my cli in the iphon app! mak it hard for on-the-go sharing! what's the point of the ap if i cannot shar my folders?! plea change!
,Please change!,,,,,,,,,,
228,What happened?  I used  to rely on Dropbox to transfer files from my iPad to my computer The camera upload still works but that's about it They need to fix this App!!!!!,2,-1,1,2,2,Send to Dropbox option no longer available in Apps,RE2014_app_and_play_store_apps,41,what happened? used to rely dropbox to transfer files from ipad to computer camera upload still works but that's about need to fix this app!!!!!,what happened? i us to rely on dropbox to transf fil from my ipad to my comput the cam upload stil work but that's about it they nee to fix thi app!!!!!
229,What happened?? I can't access my program now. Will cancel if problem is not fixed soon!,1,-2,1,2,-2,Useless App!!,AppStore_Random,21,what happened?? cant access program now will cancel if problem not fixed soon!,what happened?? i cant access my program now wil cancel if problem is not fix soon!
230,Since update I can not open links or pictures from email. Please fix.,2,-1,1,0,2,Bad update,AppStore_Random,15,since update can not open links or pictures from email please fix,sint upd i can not op link or pict from email plea fix
231,After this latest update I can't even get into my account on either my iPhone or iPad it says incorrect password!!! What a freakin joke of an update! Do they even test before sending out these updates or what?,2,-2,1,0,-2,Absolutely lame now!!!,RE2014_app_and_play_store_apps,47,after this latest update can't even get into account either iphone or ipad says incorrect password!!! what freakin joke of update! do even test before sending these updates or what?,aft thi latest upd i can't ev get into my account on ei my iphon or ipad it say incorrect password!!! what a freakin jok of an update! do they ev test bef send out the upd or what?
232,Mostly great! Best photo editing app for me I've ever used. Except the one thing I really wish you could do is use one of your own gallery photos as the background for a pic frame,4,-1,4,1,4,,PlayStore_Random,39,mostly great! best photo editing app for ive ever used except one thing really wish could do use one of own gallery photos as background for pic frame,most great! best photo edit ap for me ive ev used exceiv the on thing i real wish you could do is us on of yo own gallery photo as the background for a pic fram
233,"I'm very disappointed with this app. I loved when it worked, but since the new update it won't even open! That last update was at the end of October, and now it's the beginning of December .... one would think that a big company, with I'm sure a nicely paid Tech team, would have figured out the bugs by now. Don't waste your money on this app until they fix it!",4,-3,1,6,4,Used to work....,AppStore_Random,85,"im very disappointed with this app loved when worked, but since new update wont even open! that last update was at end of october, now its beginning of december  one would think that big company, with im sure nicely paid tech team, would have figured bugs by now dont waste money this app until fix it!","im very disappoint with thi app i lov when it worked, but sint the new upd it wont ev open! that last upd was at the end of october, and now its the begin of decemb  on would think that a big company, with im sur a nic paid tech team, would hav fig out the bug by now dont wast yo money on thi ap until they fix it!"
234,I like the app but suddenly it won't open and I can't get to my notes,2,-1,2,1,2,Useless now,RE2014_app_and_play_store_apps,22,like app but suddenly won't open can't get to notes,i lik the ap but sud it won't op and i can't get to my not
235,"This app is misbehaving big time on me WHY??? I love this one and its just not working right for me'( now it won't download the features is Stuck I don't know if its me or you ???Please Try Helping me,Thanks Again '( '( SOS PLEASE HELP GET THIS APP TO WORK FOR ME TY PAM THERESE LUKASZ PARKRIDGE,IL 60068 '(  -#  X  @  &gt&ltTHANK-YOU FOR FIXING MY PROBLEM ,SO FAR GREAT JUST LIKE NORMAL TY TY TY TY ) ) )!!! ((((HUGZ))))!!!!!!!  =]",3,-2,5,0,3,,RE2014_app_and_play_store_apps,125,"this app misbehaving big time why??? love this one just not working right for me( now wont download features stuck dont know if or ???please try helping me,thanks again ( ( sos please help get this app to work for ty pam therese lukasz parkridge,il 60068 ( -# x @ &gt&ltthank-you for fixing problem ,so far great just like normal ty ty ty ty ) ) )!!! ((((hugz))))!!!!!!! =]","thi ap is misbehav big tim on me why??? i lov thi on and it just not work right for me( now it wont download the feat is stuck i dont know if it me or you ???please try help me,thanks again ( ( sos plea help get thi ap to work for me ty pam ther lukasz parkridge,il 60068 ( -# x @ &gt&ltthank-you for fix my problem ,so far gre just lik norm ty ty ty ty ) ) )!!! ((((hugz))))!!!!!!! =]"
236,Dropbox no longer accepts files from my iPad since latest IOS update Before this issue the app actually worked and was an easy five star,1,-1,2,2,-1,Dropbox is great but problems working with  new IOS update,RE2014_app_and_play_store_apps,25,dropbox no longer accepts files from ipad since latest ios update before this issue app actually worked was easy five star,dropbox no long acceiv fil from my ipad sint latest io upd bef thi issu the ap act work and was an easy fiv star
237,Latest version seems to have stopped playing my videos  Sad,2,-4,2,1,-4,Videos stopped playing,RE2014_app_and_play_store_apps,10,latest version seems to have stopped playing videos sad,latest vert seem to hav stop play my video sad
238,I love this app....... When its WORKING!!!!!!!!!!!!!!!,3,-1,2,0,3,Wish they would fix this,AppStore_Random,25,love this app when working!!!!!!!!!!!!!!!,i lov thi app when it working!!!!!!!!!!!!!!!
239,"Frequently crashes and does not allow local storage of personal notes, which are automatically stored on painfully slow Evernote servers  Personal notes and passwords have been compromised by hackers once already  Hope you did not have anything sensitive in your notes!",3,-4,1,4,-4,"Buggy, slow and insecure",RE2014_app_and_play_store_apps,43,"frequently crashes does not allow local storage of personal notes, which automatically stored painfully slow evernote servers personal notes passwords have been compromised by hackers once already hope did not have anything sensitive notes!","frequ crash and doe not allow loc stor of person notes, which ar autom stor on pain slow evernot serv person not and password hav been comprom by hack ont already hop you did not hav any sensit in yo notes!"
240,"""Attic"" is a synonym of ""noggin"" but not vice versa. By the way I like the wiktionary thing.",2,-1,4,0,2,Bug,AppStore_Random,24,attic synonym of noggin but not vice versa by way like wiktionary thing,attic is a synonym of noggin but not vic versa by the way i lik the wikt thing
241,Gave me an error first time after uploading check images. App crashed the second time while uploading check images.,1,-1,1,2,-1,Check deposit has never worked,AppStore_Random,21,gave error first time after uploading check images app crashed second time while uploading check images,gav me an er first tim aft upload check images ap crash the second tim whil upload check images
242,"Argh Crashes all the time This service, and this app, would be great if the app didn't crash when reading PDFs",3,-2,2,0,3,Crashes when reading PDFs,RE2014_app_and_play_store_apps,30,"argh crashes all time this service, this app, would be great if app didn't crash when reading pdfs great when works","argh crash al the tim thi service, and thi app, would be gre if the ap didn't crash when read pdfs gre when it work"
,,,,,,,,,,,
,Great when it works,,,,,,,,,,
243,All my settings are on and yet the phone doesn't alert me on the relevant info I plugged in. The iPad version is keeping better updates.,1,-1,2,1,-1,No more alerts,AppStore_Random,29,all settings yet phone doesnt alert relevant info plugged in ipad version keeping better updates,al my set ar on and yet the phon doesnt alert me on the relev info i plug in the ipad vert is keep bet updates
244,"Looks like it would be a great app, but it only downloads grades for 1 class...hmmm. Pretty useless for me right now.  I'm extremely disappointed since the website is difficult to use on my iPhone. This app has too many connection problems & it's too slow. I'll use the crappy designed website until this app gives me something useful to see. I'll try back later :(",3,-4,1,2,-4,Less than desirable,AppStore_Random,79,"looks like would be great app, but only downloads grades for 1 classhmmm pretty useless for right now im extremely disappointed since website difficult to use iphone this app has too many connection problems & its too slow ill use crappy designed website until this app gives something useful to see ill try back later (","look lik it would be a gre app, but it on download grad for 1 classhmmm pretty useless for me right now im extrem disappoint sint the websit is difficult to us on my iphone thi ap has too many connect problem & its too slow ill us the crappy design websit until thi ap giv me some us to see ill try back lat ("
245,Best pic edit app Great app Jus cant find how to remove text from a pic,3,-1,5,0,3,,RE2014_app_and_play_store_apps,16,best pic edit app great app jus cant find how to remove text from pic,best pic edit ap gre ap jus cant find how to remov text from a pic
246,After I installed my 12th vid app has frozen and I cannot access the app or any pics.  Any help ?,1,-1,1,2,-1,App has frozen,AppStore_Random,23,after installed 12th vid app has frozen cannot access app or any pics any help ?,aft i inst my 12th vid ap has froz and i cannot access the ap or any pics any help ?
247,2114 Will not let me share recipes with any of my friends,1,-1,2,0,-1,,RE2014_app_and_play_store_apps,12,2114 will not let share recipes with any of friends,2114 wil not let me shar recip with any of my friend
248,Really need to know how far a restaurant is from my current location so that I don't hAve to take a cab from hotel or fight traffics Would like to know what's near me  ,1,-3,1,0,-3,Miss distance from current location,RE2014_app_and_play_store_apps,56,really need to know how far restaurant from current location so that don't have to take cab from hotel or fight traffics would like to know what's near too bad has makings of great app!!! back to yelp,real nee to know how far a rest is from my cur loc so that i don't hav to tak a cab from hotel or fight traff would lik to know what's near me too bad it has the mak of a gre app!!! back to yelp
,,,,,,,,,,,
,Too bad it has the makings of a great app!!!,,,,,,,,,,
,,,,,,,,,,,
,Back to yelp,,,,,,,,,,
249,"I can't load 2 minutes of any video, and now I can't even fast forward the video at all. I used to love this app, but you idiots ruined it for me. Does anyone know where I can get a new flash video player?",3,-2,1,2,3,You ruined this app,AppStore_Random,51,"cant load 2 minutes of any video, now cant even fast forward video at all used to love this app, but idiots ruined for me does anyone know where can get new flash video player?","i cant load 2 minut of any video, and now i cant ev fast forward the video at all i us to lov thi app, but you idiot ruin it for me doe anyon know wher i can get a new flash video player?"
250,"I always use dropbox with Upad, but this newest version can't open PDF files with Upad anymore plz update as soon as possible",1,-1,3,0,-1,after update something missing!!,RE2014_app_and_play_store_apps,27,"always use dropbox with upad, but this newest version can't open pdf files with upad anymore plz update as soon as possible","i alway us dropbox with upad, but thi newest vert can't op pdf fil with upad anym plz upd as soon as poss"
251,Just installed update and it's unusable now because it crashes 100% of the time upon startup,1,-1,1,1,-1,Fix your updae??,RE2014_app_and_play_store_apps,20,just installed update it's unusable now because crashes 100% of time upon startup,just inst upd and it's un now beca it crash 100% of the tim upon startup
252,I just installed on my 3Gs and it took forever to load .. Now when I tap ,1,-1,1,3,-1,Don't waste your money,AppStore_Random,30,just installed 3gs took forever to load  now when tap its just blank white screen  im pissed,i just inst on my 3gs and it took forev to load  now when i tap on it its just a blank whit screen  im piss
,on it it's just a blank white screen .. I'm pissed,,,,,,,,,,
253,This app used to work flawlessly After the most r event update however I can't even open it I get the logo screen and then the app crashes completely The update has rendered it useless!!,2,-4,1,2,-4,Crashes,RE2014_app_and_play_store_apps,40,this app used to work flawlessly after most r event update however can't even open get logo screen then app crashes completely update has rendered useless!!,thi ap us to work flawless aft the most r ev upd howev i can't ev op it i get the logo screen and then the ap crash complet the upd has rend it useless!!
254,None of my photos will load even tho they have been uploaded to Dropbox for months Ever since the update none of my photos show up in Dropbox It's just white boxes App is no use for me if it won't load my photos,1,-1,1,3,-1,Photos won't load!,RE2014_app_and_play_store_apps,50,none of photos will load even tho have been uploaded to dropbox for months ever since update none of photos show dropbox it's just white boxes app no use for if won't load photos,non of my photo wil load ev tho they hav been upload to dropbox for mon ev sint the upd non of my photo show up in dropbox it's just whit box ap is no us for me if it won't load my photo
255,It's need an update where u can post a new chapter of your story and where u can upload a cover for the story! >:0,2,-1,3,0,2,What needs to be done,AppStore_Random,33,its need update where u can post new chapter of story where u can upload cover for story! >0 keeps crashing!,its nee an upd wher u can post a new chapt of yo story and wher u can upload a cov for the story! >0 and it keep crashing!
,And it keeps crashing!,,,,,,,,,,
256,"Search engine not complete Searched for house rentals in Healdsburg, CA Having friends there, I know that there are more than 16 b&ampbs Also no results for house rentals in the valley Love trip advisor and use it often on the computer, but this app doesn't provide you with proper search options",3,-1,2,0,3,"Like trip advise, don't like app",RE2014_app_and_play_store_apps,60,"search engine not complete searched for house rentals healdsburg, ca having friends there, know that there more than 16 b&ampbs also no results for house rentals valley love trip advisor use often computer, but this app doesn't provide with proper search options","search engin not complet search for hou rent in healdsburg, ca hav friend there, i know that ther ar mor than 16 b&ampbs also no result for hou rent in the valley lov trip adv and us it oft on the computer, but thi ap doesn't provid you with prop search opt"
257,Can not edit PDF :-( I just wanna note something in PDF .but I cant.,1,-1,2,0,-1,,PlayStore_Random,19,can not edit pdf -( just wanna note something pdf but cant,can not edit pdf -( i just wan not some in pdf but i cant
258,"Just ok For God's sake we need a new icon and interface, seems so outdated!!",2,-1,3,1,2,,PlayStore_Random,19,"just ok for gods sake need new icon interface, seems so outdated!!","just ok for gods sak we nee a new icon and interface, seem so outdated!!"
259,Good bt not satisfied :( Can't reply.. no tagging.. please add more features..,2,-1,3,2,2,,PlayStore_Random,15,good bt not satisfied ( cant reply no tagging please add more features,good bt not satisfy ( cant reply no tagging plea ad mor features
260,Doesn't save progress online Great game except it doesn't save my progress in online mode. I'm smashing fools and still stuck on Rank 11.,3,-2,3,1,3,,PlayStore_Random,29,doesnt save progress online great game except doesnt save progress online mode im smashing fools still stuck rank 11,doesnt sav progress onlin gre gam exceiv it doesnt sav my progress in onlin mode im smash fool and stil stuck on rank 11
261,New update Great app but would be great if app locker could be turned off from widget and also pattern password rather than numbers or letters.,3,-2,3,1,3,,PlayStore_Random,27,new update great app but would be great if app locker could be turned off from widget also pattern password rather than numbers or letters,new upd gre ap but would be gre if ap lock could be turn off from widget and also pattern password rath than numb or letters
262,Good camera app It's a very nice camera app with so many effects except no video recording. Please put video recording with real time effects. it's a good app though.,3,-1,4,1,3,,PlayStore_Random,35,good camera app its very nice camera app with so many effects except no video recording please put video recording with real time effects its good app though,good cam ap its a very nic cam ap with so many effect exceiv no video recording plea put video record with real tim effects its a good ap though
263,I love this app using it for a long time a year works great but started to show wrong stars even after I adjust them with moon it happen after your new update please fix it,3,-2,3,1,3,It's amazing,AppStore_Random,36,love this app using for long time year works great but started to show wrong stars even after adjust with moon happen after new update please fix,i lov thi ap us it for a long tim a year work gre but start to show wrong star ev aft i adjust them with moon it hap aft yo new upd plea fix it
264,"I was having problems with my Simple Machines forum crashing  while posting so I installed tapatalk. It freezes almost daily, but not before I finish a post. For that reason alone I keep using it. ",1,-2,2,3,-2,Does the one thing I need (v1.12.2),AppStore_Random,114,"was having problems with simple machines forum crashing while posting so installed tapatalk freezes almost daily, but not before finish post for that reason alone keep using it unfortunately limits access to parts of forum that very useful to me cannot search forum at all cannot see who started thread, cannot see auto signatures cannot use emoticons some of browsing shortcuts not available tapatalk offers nothing near full browsing experience but works thats enough for now","i was hav problem with my simpl machin for crash whil post so i inst tapatalk it freez almost daily, but not bef i fin a post for that reason alon i keep us it unfortun it limit my access to part of the for that ar very us to me i cannot search the for at all i cannot see who start a thread, i cannot see auto sign and i cannot us emoticons som of my brow shortcut ar not available tapatalk off noth near the ful brow expery but it work and thats enough for now"
,,,,,,,,,,,
,"Unfortunately it limits my access to parts of the forum that are very useful to me. I cannot search the forum at all. I cannot see who started a thread, I cannot see auto signatures and I cannot use emoticons. Some of my browsing shortcuts are not available. Tapatalk offers nothing near the full browsing experience but it works and that's enough for now.",,,,,,,,,,
265,"bought the app, worked good the first time, now it opens with just the home page, wont do anything else, disappointed",2,-2,2,2,-2,Hummmmm,AppStore_Random,25,"bought app, worked good first time, now opens with just home page, wont do anything else, disappointed","bought the app, work good the first time, now it op with just the hom page, wont do any else, disappoint"
266,Nice going. I loved this app. You could match any face anyway you want. Till I downloaded the update. Now the hue a saturation is all messed up. It was perfect before. Change it back!,4,-1,1,4,4,Messed up the app,AppStore_Random,42,nice going loved this app could match any face anyway want till downloaded update now hue saturation all messed up was perfect before change back!,nic going i lov thi app you could match any fac anyway you want til i download the update now the hue a sat is al mess up it was perfect before chang it back!
267,I use this app traveling through six countries in Europe over a period of three weeks and it was flawless. The off-line option always worked great.,3,-1,5,3,3,Wonderful,AppStore_Random,67,"use this app traveling through six countries europe over period of three weeks was flawless off-line option always worked great do not expect this map to give distances from place to place will not do that but once get into city if want to get around, this cannot be beat","i us thi ap travel through six country in europ ov a period of three week and it was flawless the off-line opt alway work great do not expect thi map to giv you dist from plac to plac it wil not do that but ont you get into a city if you want to get around, thi cannot be beat"
,"Do not expect this map to give you distances from place to place it will not do that. But once you get into a city if you want to get around, this cannot be beat.",,,,,,,,,,
268,Love it but it's crashing with the new update!!,3,-1,4,0,3,Fix please,AppStore_Random,12,love but its crashing with new update!!,lov it but its crash with the new update!!
269,The few times it worked it was an awesome app. Now it's total frustration: takes forever to load and then crashes. Lame!,3,-4,1,2,-4,Doesn't work!,AppStore_Random,27,few times worked was awesome app now its total frustration takes forever to load then crashes lame!,the few tim it work it was an awesom app now its tot frustration tak forev to load and then crashes lame!
270,The interface works great and mapping is nice :) Only bug I've seen is Facebook integration at times.,3,-1,5,1,3,And then some!,AppStore_Random,21,interface works great mapping nice ) only bug ive seen facebook integration at times,the interfac work gre and map is nic ) on bug ive seen is facebook integr at times
271,"I listen to it a lot. However, it will once in a while disconnect for no apparent reason. When it disconnects, it will repeat previous transmissions. I would like more APD and less Fire and Ambulance. Great app!",3,-1,4,0,3,APD,AppStore_Random,45,"listen to lot however, will once while disconnect for no apparent reason when disconnects, will repeat previous transmissions would like more apd less fire ambulance great app!","i list to it a lot however, it wil ont in a whil disconnect for no ap reason when it disconnects, it wil rep prevy transmissions i would lik mor apd and less fir and ambulance gre app!"
272,"I went in and made a playlist, I unselected the group podcasts button so it would go into my list of pod casts so that I could create playlists like NEWS, TECH, etc... it worked for the FIRST playlist created, now it won't work for any of the others I create, it will ONLY allow to select ALL the podcasts... very strange. Please fix.   The ""GROUP by PODCAST"" button is now dead after creating ONE playlist successfully....  I have uninstalled, reinstalled, rebooted my iphone, etc.",3,-1,3,9,3,Please fix problem with creating play lists and the group button,AppStore_Random,156,"went made playlist, unselected group podcasts button so would go into list of pod casts so that could create playlists like news, tech, etc worked for first playlist created, now wont work for any of others create, will only allow to select all podcasts very strange please fix group by podcast button now dead after creating one playlist successfully have uninstalled, reinstalled, rebooted iphone, etc please help awesome program otherwise just have lot of podcasts need to be able to group them iphones hard installed video app does that for  but really want to use program vs iphones app please advise","i went in and mad a playlist, i unselect the group podcast button so it would go into my list of pod cast so that i could cre playl lik news, tech, etc it work for the first playl created, now it wont work for any of the oth i create, it wil on allow to select al the podcasts very strange plea fix the group by podcast button is now dead aft cre on playl successfully i hav uninstalled, reinstalled, reboot my iphone, etc plea help an awesom program otherwise i just hav a lot of podcast and nee to be abl to group them the iphones hard inst video ap doe that for me  but i real want to us yo program vs the iphon app plea advise"
,Please help... an AWESOME program otherwise.   I just have a lot of podcasts and need to be able to group them... the iPhone's hard installed video app does that for me ... but I really want to use your program vs. the iPhones app....,,,,,,,,,,
,Please advise.,,,,,,,,,,
273,Now it crashes and I can't get in anymore. Please fix!,2,-1,1,0,2,It won't work anymore,AppStore_Random,14,now crashes cant get anymore please fix!,now it crash and i cant get in anymore plea fix!
274,"Good ap but the usage of activity points does not work. Not shown when the add button is selected. Fix this. Other than that, no problem.",2,-2,4,1,-2,Track bites,AppStore_Random,31,"good ap but usage of activity points does not work not shown when add button selected fix this other than that, no problem","good ap but the us of act point doe not work not shown when the ad button is selected fix this oth than that, no problem"
275,I'm glad I didn't pay the $10 for this app. Every time I try to load it it crashes. There's a 50-50 chance that I will get alerts. I got the app so i would know about warnings and to help keep my family safe. I would not recommend this app unless they fix all these issues. I want something that will work all the time not half the time.,2,-1,1,2,2,Expected more...,AppStore_Random,80,im glad didnt pay $10 for this app every time try to load crashes theres 50-50 chance that will get alerts got app so would know about warnings to help keep family safe would not recommend this app unless fix all these issues want something that will work all time not half time,im glad i didnt pay the $10 for thi app every tim i try to load it it crashes theres a 50-50 chant that i wil get alerts i got the ap so i would know about warn and to help keep my famy safe i would not recommend thi ap unless they fix al the issues i want some that wil work al the tim not half the time
276,The new update doesn't work. Won't even open now. Can't believe I paid for this app!! I have found better apps for free!!!,2,-1,1,2,2,New update :(,AppStore_Random,33,new update doesnt work wont even open now cant believe paid for this app!! have found better apps for free!!!,the new upd doesnt work wont ev op now cant believ i paid for thi app!! i hav found bet ap for free!!!
277,Crashes after update,1,-1,1,0,-1,Update bad,AppStore_Random,3,crashes after update,crash aft upd
278,App hasn't worked in a month. That shows no effort in trying to fix this. You all failed.,1,-2,1,2,-2,App hasn't work for a month now,AppStore_Random,22,app hasnt worked month that shows no effort trying to fix this all failed,ap hasnt work in a month that show no effort in try to fix this you al failed
279,I can't even install it. I am now with out my navigation. This is the worst. Hurry up and fix it and I will change it to an 4 star,1,-3,1,0,-3,Horrible update,AppStore_Random,34,cant even install it now with navigation this worst hurry fix will change to 4 star,i cant ev inst it i am now with out my navigation thi is the worst hurry up and fix it and i wil chang it to an 4 star
280,"Does everything I would need a simple weather app to do. Radar is slow to load, but I have another app for that. There's not a lot of detail in the information, particularly in details for upcoming days. The forecast is no more specific than a high and low temp and a picture representation of the weather for the entire day. Nevertheless, this isn't meant to be too detailed, and it provides plenty of info for the current time. My biggest complaint is that the app crashes on startup often. Sometimes it will load the second time, sometimes it requires a restart of my iPad 3rd generation. It's a nice looking app, the kind that you would want to have on your iPad, it just has a stability problem.",2,-2,4,1,-2,Very good app,AppStore_Random,147,"does everything would need simple weather app to do radar slow to load, but have another app for that theres not lot of detail information, particularly details for upcoming days forecast no more specific than high low temp picture representation of weather for entire day nevertheless, this isnt meant to be too detailed, provides plenty of info for current time biggest complaint that app crashes startup often sometimes will load second time, sometimes requires restart of ipad 3rd generation its nice looking app, kind that would want to have ipad, just has stability problem","doe every i would nee a simpl wea ap to do rad is slow to load, but i hav ano ap for that theres not a lot of detail in the information, partic in detail for upcom days the forecast is no mor spec than a high and low temp and a pict repr of the wea for the entir day nevertheless, thi isnt meant to be too detailed, and it provid plenty of info for the cur time my biggest complaint is that the ap crash on startup often sometim it wil load the second time, sometim it requir a restart of my ipad 3rd generation its a nic look app, the kind that you would want to hav on yo ipad, it just has a stabl problem"
281,After you edit the photos on the iPad there is no way to move them to the iPhoto app on a Mac. They don't update on the Mac. Please fix this.,2,-1,3,0,2,There is no way to move edited photos to iPhoto on Mac!!,AppStore_Random,35,after edit photos ipad there no way to move to iphoto app mac dont update mac please fix this,aft you edit the photo on the ipad ther is no way to mov them to the iphoto ap on a mac they dont upd on the mac plea fix this
282,The effects are really cool. Nothing like instagram. But the app crashes every time I try to save. Needs to be fixed.,3,-1,2,1,3,crashes,AppStore_Random,26,effects really cool nothing like instagram but app crashes every time try to save needs to be fixed,the effect ar real cool noth lik instagram but the ap crash every tim i try to save nee to be fixed
283,The upgrade keeps crashing and I can't even get it to work!!!!,2,-1,1,0,2,Disappointed,AppStore_Random,17,upgrade keeps crashing cant even get to work!!!!,the upgrad keep crash and i cant ev get it to work!!!!
284,doesn't load properly on my 3GS with the latest iOS. used to show picture relating to current weather but not anymore. radar map takes forever to load.,1,-1,1,1,-1,terrible,AppStore_Random,31,doesnt load properly 3gs with latest ios used to show picture relating to current weather but not anymore radar map takes forever to load,doesnt load prop on my 3gs with the latest ios us to show pict rel to cur wea but not anymore rad map tak forev to load
285,The only thing this is good for is starting documents. If you try to upload your documents from google documents the document is just gray.,2,-1,1,0,2,Terrible,AppStore_Random,27,only thing this good for starting documents if try to upload documents from google documents document just gray,the on thing thi is good for is start documents if you try to upload yo docu from googl docu the docu is just gray
286,"This once great app is now useless.  Every address I enter fails.  I was a faithful and constant user before the update, now I am searching for another app that actually works.",3,-3,1,1,-3,Went from great to unusable,AppStore_Random,36,"this once great app now useless every address enter fails was faithful constant user before update, now searching for another app that actually works","thi ont gre ap is now useless every address i ent fails i was a fai and const us bef the update, now i am search for ano ap that act works"
287,"I have the paid $20.00 version. Worked great until update. Seriously, nothing works now. Greens are not tee boxes and swimming pools are not greens.",3,-1,1,2,3,Where's My SkyCaddie???,AppStore_Random,31,"have paid $2000 version worked great until update seriously, nothing works now greens not tee boxes swimming pools not greens","i hav the paid $2000 version work gre until update seriously, noth work now green ar not tee box and swim pool ar not greens"
288,"Will definitely download and re-rate as 5 stars when this is fixed. Unusable if you want that option, which is why I give 1 star.  Dont bother putting brown rice in the special secrion as it may be missed.  Great way to order and avoid any miscommunication with staff.  Love the food a ton!",3,-2,1,3,3,brown rice,AppStore_Random,60,"will definitely download re-rate as 5 stars when this fixed unusable if want that option, which why give 1 star dont bother putting brown rice special secrion as may be missed great way to order avoid any miscommunication with staff love food ton!","wil definit download and re-rat as 5 star when thi is fixed un if you want that option, which is why i giv 1 star dont both put brown ric in the spec secr as it may be missed gre way to ord and avoid any miscommun with staff lov the food a ton!"
289,"I downloaded this app so I could load my physical card and take advantage of the $10 free offer but the app won't open. I've rebooted my phone, and deleted and reinstalled the app. No luck. Was there any quality control on this thing?",3,-1,1,5,3,App won't open,AppStore_Random,52,"downloaded this app so could load physical card take advantage of $10 free offer but app wont open ive rebooted phone, deleted reinstalled app no luck was there any quality control this thing?","i download thi ap so i could load my phy card and tak adv of the $10 fre off but the ap wont open ive reboot my phone, and delet and reinst the app no luck was ther any qual control on thi thing?"
290,This app was great until the most recent update. Now it crashes all the time. Do NOT download until this problem is (hopefully) fixed!,3,-2,2,2,3,Recent update crashes,AppStore_Random,29,this app was great until most recent update now crashes all time do not download until this problem (hopefully) fixed!,thi ap was gre until the most rec update now it crash al the time do not download until thi problem is (hopefully) fixed!
291,It is the best app ever.,2,-1,5,0,2,Cool,AppStore_Random,7,best app ever,it is the best ap ever
292,"First off, let me say that it looks great...if I could get it to stay up for more than 5 seconds...then it CRASHES!  The concept is wonderful and the app appears to be very nicely done from a user interface standpoint but it is very unstable.  Big disappointment since I use this for my doctoral studies, major failure in the mobility and convenience categories...0 out of 10 for usefulness.",3,-2,1,1,3,wow - way to kill a potentially great app!,AppStore_Random,80,"first off, let say that looks greatif could get to stay for more than 5 secondsthen crashes! concept wonderful app appears to be very nicely done from user interface standpoint but very unstable big disappointment since use this for doctoral studies, major failure mobility convenience categories0 of 10 for usefulness","first off, let me say that it look greatif i could get it to stay up for mor than 5 secondsthen it crashes! the conceiv is wond and the ap appear to be very nic don from a us interfac standpoint but it is very unstable big disappoint sint i us thi for my doct studies, maj fail in the mobl and conveny categories0 out of 10 for usefulness"
293,I was using the app which seemed great until I noticed it was posting to my fb page even though I opted out. Deleted app because it doesn't give you the option again after the fact,3,-1,3,6,3,Opted out,AppStore_Random,38,was using app which seemed great until noticed was posting to fb page even though opted out deleted app because doesnt give option again after fact,i was us the ap which seem gre until i not it was post to my fb pag ev though i opt out delet ap beca it doesnt giv you the opt again aft the fact
294,"Every time I use it, it crashes. If I don't use for 25 days, pinger says they will give away my number. Terrible app.",1,-4,2,0,-4,Fix this app,AppStore_Random,30,"every time use it, crashes if dont use for 25 days, pinger says will give away number terrible app","every tim i us it, it crashes if i dont us for 25 days, ping say they wil giv away my number ter app"
295,"The app is fine but the one thing, (and really only thing you need it for) isn't working. I attempted to pay a bill using the credit card already on file and  after several minutes of ""beach ball"" froze the app. I had to go to the website to pay my bill.",3,-1,3,2,3,Freezes during payment processing,AppStore_Random,61,"app fine but one thing, (and really only thing need for) isnt working attempted to pay bill using credit card already file after several minutes of beach ball froze app had to go to website to pay bill","the ap is fin but the on thing, (and real on thing you nee it for) isnt working i attempt to pay a bil us the credit card already on fil and aft sev minut of beach ball froz the app i had to go to the websit to pay my bill"
296,This is just do frustrating. Only solution is,1,-3,1,1,-3,Great app but constantly freezes,AppStore_Random,43,this just do frustrating only solution delete re download app then freezes again camera launch! happened for last month please fix then will gladly give all five stars!,thi is just do frustrating on solv is delet and re download app then it freez again on cam launch! hap for the last month plea fix it then i wil glad giv al fiv stars!
,Delete and re download app. Then it freezes again on camera launch...! Happened for the last month.,,,,,,,,,,
,Please fix it then I will,,,,,,,,,,
,Gladly give all,,,,,,,,,,
,Five stars...!,,,,,,,,,,
297,Very fun but the server is apparently not that big for all users. My app keeps getting errors when I try to open it and play where I don't get that with other games. Haven't been able to play all day,3,-1,3,2,3,Fun game but errors,AppStore_Random,45,very fun but server apparently not that big for all users app keeps getting errors when try to open play where dont get that with other games havent been able to play all day,very fun but the serv is ap not that big for al users my ap keep get er when i try to op it and play wher i dont get that with oth games havent been abl to play al day
